what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1325635130748
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1325635130748
os,sysinfo,,,"win32",1325635130751
arch,sysinfo,,,"x86",1325635130751
ws,sysinfo,,,"win32",1325635130751
locale,sysinfo,,,"en_US",1325635130751
processors,sysinfo,,,"4",1325635130751
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325635130751
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1325635130751
java.specification.name,sysinfo,,,"Java Platform API Specification",1325635130751
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325635130751
java.specification.version,sysinfo,,,"1.6",1325635130751
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1325635130751
java.version,sysinfo,,,"1.6.0_29",1325635130751
java.vm.info,sysinfo,,,"mixed mode, sharing",1325635130751
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1325635130751
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325635130751
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325635130751
java.vm.specification.version,sysinfo,,,"1.0",1325635130751
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1325635130751
java.vm.version,sysinfo,,,"20.4-b02",1325635130751
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1325635139454
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1325635161648
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1325635176696
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1325635181218
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1325635183926
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1325635185948
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1325635186830
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1325635186838
started,bundle,org.eclipse.pde.build,3.5.2.R35x_20100114,"org.eclipse.pde.build",1325635188825
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1325635193124
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1325635200601
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1327192639613
started,bundle,org.eclipse.osgi,3.5.1.R35x_v20090827,"org.eclipse.osgi",1327192639613
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1327192639613
started,bundle,org.eclipse.core.expressions,3.4.100.v20090429-1800,"org.eclipse.core.expressions",1327192639613
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1327192639613
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1327192639613
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1327192639613
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1327192639613
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1327192639613
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1327192639613
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1327192639613
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1327192639613
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1327192639613
started,bundle,org.eclipse.equinox.app,1.2.0.v20090520-1800,"org.eclipse.equinox.app",1327192639613
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1327192639613
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin.equinox",1327192639613
started,bundle,org.eclipse.equinox.p2.director,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.director",1327192639613
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1327192639613
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1327192639613
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1327192639613
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1327192639613
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1327192639613
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1327192639613
started,bundle,org.eclipse.equinox.preferences,3.2.300.v20090520-1800,"org.eclipse.equinox.preferences",1327192639613
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1327192639613
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1327192639613
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator.manipulator",1327192639613
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1327192639613
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1327192639613
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1327192639613
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1327192639613
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1327192639613
